"date" "demand"
"829" 2017-04-08 63108
"830" 2017-04-09 52577
"831" 2017-04-10 38487
"832" 2017-04-11 40651
"833" 2017-04-12 41300
"834" 2017-04-13 45590
"835" 2017-04-14 49148
"836" 2017-04-15 58742
"837" 2017-04-16 52184
"838" 2017-04-17 37090
"839" 2017-04-18 40368
"840" 2017-04-19 47477
"841" 2017-04-20 47438
"842" 2017-04-21 56199
"843" 2017-04-22 60384
"844" 2017-04-23 49792
"845" 2017-04-24 40436
"846" 2017-04-25 48168
"847" 2017-04-26 43028
"848" 2017-04-27 46449
"849" 2017-04-28 53143
"850" 2017-04-29 60321
"851" 2017-04-30 50115
"852" 2017-05-01 39894
"853" 2017-05-02 41439
"854" 2017-05-03 44032
"855" 2017-05-04 47999
"856" 2017-05-05 55472
"857" 2017-05-06 60240
"858" 2017-05-07 49461
"859" 2017-05-08 39035
"860" 2017-05-09 41950
"861" 2017-05-10 43337
"862" 2017-05-11 46280
"863" 2017-05-12 53118
"864" 2017-05-13 63346
"865" 2017-05-14 52058
"866" 2017-05-15 39001
"867" 2017-05-16 40402
"868" 2017-05-17 44449
"869" 2017-05-18 49955
"870" 2017-05-19 54884
"871" 2017-05-20 63384
"872" 2017-05-21 50641
"873" 2017-05-22 40849
"874" 2017-05-23 39326
"875" 2017-05-24 43051
"876" 2017-05-25 46403
"877" 2017-05-26 48630
"878" 2017-05-27 49613
"879" 2017-05-28 44095
"880" 2017-05-29 32119
"881" 2017-05-30 37497
"882" 2017-05-31 39918
"883" 2017-06-01 43953
"884" 2017-06-02 50320
"885" 2017-06-03 56531
"886" 2017-06-04 47198
"887" 2017-06-05 37621
"888" 2017-06-06 39799
"889" 2017-06-07 41064
"890" 2017-06-08 43184
"891" 2017-06-09 48758
"892" 2017-06-10 57098
"893" 2017-06-11 47855
"894" 2017-06-12 37956
"895" 2017-06-13 39396
"896" 2017-06-14 42176
"897" 2017-06-15 43155
"898" 2017-06-16 48028
"899" 2017-06-17 53972
"900" 2017-06-18 45436
"901" 2017-06-19 40207
